60A24631,106.847,10.9068
51C65728,106.661,10.8074
53N5203,106.53,10.9431
51C40140,106.742,10.7535
51C91087,106.753,10.826
51C64844,106.73,10.755
51C57750,106.79,10.7874
51C45338,106.756,10.8787
54S5386,106.621,10.7525
51C78261,106.748,10.7295
57L6688,106.833,10.9581
53N6728,106.817,10.8889
60A22320,106.83,10.9141
50LD06911,106.851,10.9025
60A27008,106.87,10.9813
57K4500,106.844,10.9042
60C22139,106.843,10.9042
60A27877,106.858,10.9382
51C50026,106.872,10.9226
61P5783,106.604,10.8254
52X4292,106.67,10.816
61C22279,106.757,10.8684
60A16459,106.885,10.9142
60C18385,106.781,10.7753
51B17676,106.779,10.8396
52S6481,106.67,10.816
51C70858,106.798,10.7672
61C22876,106.776,10.8272
60V8358,106.87,10.9292
60A04384,106.871,10.929
60A24631,106.847,10.9068
60C26336,106.766,10.8357
51C12657,106.762,10.862
61C22276,106.594,10.8736
51C70600,106.67,10.816
93C06164,106.607,10.8258
50LD06977,106.879,10.7866
51C90617,106.736,10.929
60S0185,106.819,10.933
60C25061,106.817,10.8889
51C77777,106.722,10.8634
60M0590,106.876,10.9078
60C28912,106.843,10.9042
50LD07098,106.815,10.8646
60A16589,106.803,10.9558
60A12278,106.869,10.9701
60B01700,106.863,10.9633
51C71110,106.793,10.7892
51B30543,106.779,10.8395
54Z0157,106.622,10.7467
51C69781,106.738,10.7422
54X0722,106.707,10.8297
60C10374,106.781,10.7753
60M3576,106.852,10.9053
51D00667,106.67,10.816
51C23755,106.62,10.7491
53L8591,106.67,10.8159
50LD07182,106.781,10.7935
61C20631,106.773,10.9206
51B21082,106.779,10.8396
57K1674,106.753,10.6863
51C44391,106.602,10.719
51C74251,106.762,10.8619
51F61866,106.673,10.7511
51C69217,106.796,10.7673
60C29101,106.842,10.8972
51C05525,106.707,10.8297
51C11223,106.565,10.6891
50LD07070,106.816,10.8889
60C24047,106.693,10.7886
51C24079,106.781,10.766
60S8721,106.843,10.9044
51C69456,106.742,10.7535
51B08593,106.751,10.8544
53N6272,106.565,10.8007
51C24314,106.816,10.8528
51C24217,106.718,10.8447
53U1655,106.613,10.7665
51C91837,106.829,10.8953
51B07187,106.62,10.7398
53N4537,106.614,10.8432
51C35866,106.732,10.752
51C07731,106.597,10.7987
61C11305,106.843,10.7234
51C35373,106.849,10.9328
53U2107,106.664,10.8104
51C13720,106.73,10.7573
62B00766,106.588,10.6255
51C40392,106.661,10.8067
53U1924,106.643,10.7972
51C21494,106.741,10.8987
51C59568,106.774,10.7629
51C11333,106.785,10.7624
51B15960,106.745,10.8563
51C29441,106.737,10.7616
51C21395,106.731,10.7519
61C16322,106.817,10.8831
51C68685,106.618,10.7549
51C60755,106.774,10.868
53M5749,106.672,10.7482
51B17774,106.619,10.7407
61C14617,106.793,10.8404
51B20146,106.624,10.7527
53N3631,106.634,10.8092
54U3752,106.784,10.8499
57L9478,106.817,10.8889
52X4291,106.67,10.8162
51B16399,106.858,10.812
53U1795,106.678,10.8619
51C83690,106.661,10.8069
53N5847,106.613,10.8434
51F82349,106.735,10.7428
60C11983,106.833,10.8991
51B06055,106.643,10.7972
51B05276,106.769,10.8637
51F53677,106.7,10.7466
51B10675,106.633,10.766
51E02501,106.66,10.7633
51C08110,106.692,10.8567
51C01911,106.692,10.8568
53N3644,106.689,10.7673
51C03108,106.692,10.8569
51B02135,106.668,10.8054
51B02547,106.667,10.805
51B02551,106.668,10.8054
51B02554,106.668,10.8057
51B12162,106.668,10.805
51B18733,106.667,10.8053
53N3392,106.641,10.7703
53N3429,106.668,10.8055
53N3865,106.641,10.7703
53N3909,106.642,10.7707
53N4432,106.669,10.8051
53N4669,106.641,10.7708
53N5151,106.668,10.8053
53N8402,106.668,10.8051
53N9081,106.641,10.7712
53N9093,106.705,10.8202
53N9099,106.668,10.805
53N9323,106.667,10.8051
53N9827,106.595,10.6963
51B05694,106.578,10.8772
51B08859,106.578,10.8771
51B09093,106.618,10.7548
51B09608,106.778,10.8852
51B12434,106.613,10.8433
51B14442,106.778,10.8849
51B30344,106.567,10.8719
51B30418,106.683,10.8794
51B30526,106.684,10.8799
51B30581,106.654,10.7517
53N3572,106.613,10.8432
53N4096,106.642,10.8774
53N4259,106.655,10.751
53N4374,106.578,10.8771
